Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
Sonata Software,532221,Mumbai,31/12/2016,105159306,2097.69
South Ind.Bank,532218,Mumbai,31/12/2016,1351738250,3022.01
SPARC,532872,Mumbai,31/12/2016,246895977,7761.53
SREI Infra. Fin.,523756,Mumbai,31/12/2016,503086333,4854.82
SRF,503806,Mumbai,31/12/2016,57420500,9749.92
Srikalahas. Pip.,513605,Mumbai,31/12/2016,39763595,1213.08
St Bk of Bikaner,501061,Mumbai,31/12/2016,70000000,5178.6
St Bk of India,500112,Mumbai,31/12/2016,7762777042,221304.62
Strides Shasun,532531,Mumbai,31/12/2016,89368695,10676.43
Sun Pharma.Inds.,524715,Mumbai,31/12/2016,2399270188,155778.2
Sun TV Network,532733,Mumbai,31/12/2016,394084620,26929.77
Sundaram Finance,590071,Mumbai,31/12/2016,111103860,15155.15
Sundram Fasten.,500403,Mumbai,31/12/2016,210128370,7056.21
Sunteck Realty,512179,Mumbai,31/12/2016,62966207,1505.45
Supreme Inds.,509930,Mumbai,31/12/2016,127026870,12253.65
Supreme Infra.,532904,Mumbai,31/12/2016,25698372,266.75
Supreme Petroch.,500405,Mumbai,31/12/2016,96501958,2812.55
Suven Life Scie.,530239,Mumbai,31/12/2016,127282478,2240.17
Suzlon Energy,532667,Mumbai,31/12/2016,5024398950,7988.79
Swan Energy,503310,Mumbai,31/12/2016,221180000,3778.86
Swaraj Engines,500407,Mumbai,31/12/2016,12419820,1784.44
Symphony,517385,Mumbai,31/12/2016,69957000,9108.05
Syndicate Bank,532276,Mumbai,31/12/2016,904539438,6598.62
T B Z,534369,Mumbai,31/12/2016,66730620,454.77
T N Newsprint,531426,Mumbai,31/12/2016,69210600,2367.33
T.V. Today Netw.,532515,Mumbai,31/12/2016,59653615,1609.45
Tata Chemicals,500770,Mumbai,31/12/2016,254756278,14279.3
Tata Coffee,532301,Mumbai,31/12/2016,186770370,2333.7
Tata Comm,500483,Mumbai,31/12/2016,285000000,21352.2
Tata Elxsi,500408,Mumbai,31/12/2016,31138220,4592.06
Tata Global,500800,Mumbai,31/12/2016,631129729,8952.58
Tata Inv.Corpn.,501301,Mumbai,31/12/2016,55095296,3353.11
Tata Motors,500570,Mumbai,31/12/2016,2887348428,167878.49
Tata Power Co.,500400,Mumbai,31/12/2016,2704773510,21814
Tata Sponge Iron,513010,Mumbai,31/12/2016,15400000,953.95
Tata Steel,500470,Mumbai,31/12/2016,971215439,45919.07
TCS,532540,Mumbai,31/12/2016,1970427941,439907.89
TD Power Sys.,533553,Mumbai,31/12/2016,33237588,575.22
Tech Mahindra,532755,Mumbai,31/12/2016,973123893,46756.55
Techno Elec.,533281,Mumbai,31/12/2016,114182400,4235.03
The Ramco Cement,500260,Mumbai,31/12/2016,238076780,16733.23
Thermax,500411,Mumbai,31/12/2016,119156300,9895.93
Thomas Cook (I),500413,Mumbai,31/12/2016,366676601,7094.23
Titan Company,500114,Mumbai,31/12/2016,887786160,33713.68
Torrent Pharma.,500420,Mumbai,31/12/2016,169222720,22240.58
Torrent Power,532779,Mumbai,31/12/2016,480616784,9521.02
Tree House Edu.,533540,Mumbai,31/12/2016,42310724,90.33
Trent,500251,Mumbai,31/12/2016,332316730,8344.47
Trident,521064,Mumbai,31/12/2016,509579260,3505.91
TTK Prestige,517506,Mumbai,31/12/2016,11651169,6776.55
Tube Investments,504973,Mumbai,31/12/2016,187437871,11254.71
TV18 Broadcast,532800,Mumbai,31/12/2016,1714360160,6728.86
TVS Motor Co.,532343,Mumbai,31/12/2016,475087114,18597.79
UCO Bank,532505,Mumbai,31/12/2016,1559728157,5817.79
Uflex,500148,Mumbai,31/12/2016,72211486,1976.03
UltraTech Cem.,532538,Mumbai,31/12/2016,274469973,102587.2
Unichem Labs.,506690,Mumbai,31/12/2016,90874500,2506.37
Union Bank (I),532477,Mumbai,31/12/2016,687441117,11500.89
Unitech,507878,Mumbai,31/12/2016,2616301047,1478.21
United Breweries,532478,Mumbai,31/12/2016,264405149,21744.26
United Spirits,532432,Mumbai,31/12/2016,145327743,32923.78
UPL,512070,Mumbai,31/12/2016,506950858,37424.8
Usha Martin,517146,Mumbai,31/12/2016,304741780,575.88
Uttam Galva,513216,Mumbai,31/12/2016,142260103,467.32
V I P Inds.,507880,Mumbai,31/12/2016,141317315,1920.5
Va Tech Wabag,533269,Mumbai,31/12/2016,54561713,2671.07
Vaibhav Global,532156,Mumbai,31/12/2016,32536085,1002.51
Vakrangee,511431,Mumbai,31/12/2016,529232420,16379.74
Vardhman Textile,502986,Mumbai,31/12/2016,63651879,8465.77
Vedanta,500295,Mumbai,31/12/2016,2964694239,74339.71
Vesuvius India,520113,Mumbai,31/12/2016,20296080,2514.26
Videocon Inds.,511389,Mumbai,31/12/2016,334458875,3485.06
Vijaya Bank,532401,Mumbai,31/12/2016,998845340,6667.29
Vinati Organics,524200,Mumbai,31/12/2016,51591025,3778.01
Visagar Polytex,506146,Mumbai,31/12/2016,246200528,52.93
Voltas,500575,Mumbai,31/12/2016,330884740,10922.51
VRL Logistics,539118,Mumbai,31/12/2016,91243495,2752.36
VST Inds.,509966,Mumbai,31/12/2016,15441920,3899.22
WABCO India,533023,Mumbai,31/12/2016,18967584,10528.49
Welspun Corp,532144,Mumbai,31/12/2016,265226109,2214.64
Welspun India,514162,Mumbai,31/12/2016,1004725150,7861.97
Wheels India,590073,Mumbai,31/12/2016,12032279,1483.1
Whirlpool India,500238,Mumbai,31/12/2016,126871830,13122.16
Wipro,507685,Mumbai,31/12/2016,2430875160,111273.63
Wockhardt,532300,Mumbai,31/12/2016,110548028,7589.12
Yes Bank,532648,Mumbai,31/12/2016,422978088,59160.33
Zee Entertainmen,505537,Mumbai,31/12/2016,960448720,47621.43
Zensar Tech.,504067,Mumbai,31/12/2016,44798170,3972.68
Zydus Wellness,531335,Mumbai,31/12/2016,39072089,3381.9
