Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
Colgate-Palm.,500830,Mumbai,31/12/2016,271985634,24552.14
Container Corpn.,531344,Mumbai,31/12/2016,194974191,23716.15
Coromandel Inter,506395,Mumbai,31/12/2016,291641127,9847.26
Corporation Bank,532179,Mumbai,31/12/2016,1147056443,5729.55
Cox & Kings,533144,Mumbai,31/12/2016,176564890,3436.84
Credit Analysis,534804,Mumbai,31/12/2016,29440354,4146.67
CRISIL,500092,Mumbai,31/12/2016,71335358,14480.72
Cummins India,500480,Mumbai,31/12/2016,277200000,24717.92
Cyient,532175,Mumbai,31/12/2016,112566340,5143.16
D B Corp,533151,Mumbai,31/12/2016,183863430,6981.76
D B Realty,533160,Mumbai,31/12/2016,243258782,1039.94
Dabur India,500096,Mumbai,31/12/2016,1761520510,47243.98
DCB Bank,532772,Mumbai,31/12/2016,285044103,3684.3
DCM Shriram,523367,Mumbai,31/12/2016,162416137,4541.97
Deepak Fert.,500645,Mumbai,31/12/2016,88204943,2340.39
Delta Corp,532848,Mumbai,31/12/2016,231144104,2976.37
Den Networks,533137,Mumbai,31/12/2016,194025845,1689.97
Dena Bank,532121,Mumbai,31/12/2016,787145884,3101.37
Dewan Hsg. Fin.,511072,Mumbai,31/12/2016,313125744,9290.44
Dhanlaxmi Bank,532180,Mumbai,31/12/2016,209846619,527.76
Dishman Pharma.,532526,Mumbai,31/12/2016,161394272,3835.53
Divi's Lab.,532488,Mumbai,31/12/2016,265468580,20184.9
DLF,532868,Mumbai,31/12/2016,1783993592,25609.23
Dr Reddy's Labs,500124,Mumbai,31/12/2016,165726635,52115.49
Dredging Corpn.,523618,Mumbai,31/12/2016,28000000,1323.14
Dynamatic Tech.,505242,Mumbai,31/12/2016,6341443,1856.9
eClerx Services,532927,Mumbai,23/12/2016,39712350,5924.84
eClerx Services,532927,Mumbai,31/12/2016,39712350,5924.84
Edelweiss.Fin.,532922,Mumbai,31/12/2016,831219264,10278.88
Eicher Motors,505200,Mumbai,31/12/2016,27203583,63633.62
EID Parry,500125,Mumbai,31/12/2016,175870898,5091.46
EIH,500840,Mumbai,31/12/2016,571569414,5912.68
Electrost.Cast.,500128,Mumbai,31/12/2016,356955322,997.69
Elgi Equipment,522074,Mumbai,31/12/2016,158454508,3075.6
Emami,531162,Mumbai,31/12/2016,226967619,26662.29
Engineers India,532178,Mumbai,31/12/2016,336936600,10118.21
Ent.Network,532700,Mumbai,31/12/2016,47670415,3856.98
Eros Intl.Media,533261,Mumbai,31/12/2016,93714411,1664.19
Escorts,500495,Mumbai,31/12/2016,122576878,4661.1
